rate,analysis,metric,metric_type,baseline_mean,mean,std,ci_lower,ci_upper,preservation_pct,change_pct
15,basic_structure,node_count,preservation,158262.0,158262.0,0.0,158262.0,158262.0,100.0,+0.0000%
15,basic_structure,edge_count,preservation,3990039.0,4588545.0,0.0,4588545.0,4588545.0,86.9565,+15.0000%
15,basic_structure,total_synapses,preservation,23556214.0,25326858.6,859.3842563137865,25326105.316486564,25327611.88351344,93.0088,+7.5167%
15,basic_structure,weight_mean,similarity,5.903755326702321,5.5195837896326605,0.00018728905487755342,5.519419623537867,5.519747955727454,,-6.5072%
15,basic_structure,weight_median,similarity,4.0,3.0,0.0,3.0,3.0,,-25.0000%
15,basic_structure,weight_variance,similarity,89.45748753848277,78.97380322092489,0.0009380601145427224,78.97298097498111,78.97462546686867,,-11.7192%
15,basic_structure,weight_std,similarity,9.45819684392764,8.886720611040747,5.2778710558622414e-05,8.886674348461195,8.8867668736203,,-6.0421%
15,basic_structure,weight_max,similarity,913.0,913.0,0.0,913.0,913.0,,+0.0000%
15,basic_structure,weight_min,similarity,1.0,1.0,0.0,1.0,1.0,,+0.0000%
15,basic_structure,density,preservation,0.00015930396501487044,0.00018319956575591333,0.0,0.00018319956575591333,0.00018319956575591333,86.9565,+15.0000%
15,degree_distribution,in_degree_mean,similarity,25.21160480721841,28.993346476096598,0.0,28.993346476096598,28.993346476096598,,+15.0000%
15,degree_distribution,in_degree_median,similarity,9.0,11.0,0.0,11.0,11.0,,+22.2222%
15,degree_distribution,in_degree_variance,similarity,3727.29660036276,4003.2346665266423,0.8307683092206875,4002.506465996758,4003.9628670565266,,+7.4032%
15,degree_distribution,in_degree_std,similarity,61.05158966286431,63.27112004734645,0.006565146240704939,63.265365442942084,63.276874651750816,,+3.6355%
15,degree_distribution,in_degree_max,similarity,4707.0,4707.0,0.0,4707.0,4707.0,,+0.0000%
15,degree_distribution,in_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
15,degree_distribution,out_degree_mean,similarity,25.21160480721841,28.993346476096598,0.0,28.993346476096598,28.993346476096598,,+15.0000%
15,degree_distribution,out_degree_median,similarity,11.0,12.0,0.0,12.0,12.0,,+9.0909%
15,degree_distribution,out_degree_variance,similarity,3364.863849607683,3710.1793531854732,0.40059725885705344,3709.8282142061307,3710.5304921648158,,+10.2624%
15,degree_distribution,out_degree_std,similarity,58.007446501356036,60.91124152842741,0.0032884367781568316,60.90835908650255,60.91412397035227,,+5.0059%
15,degree_distribution,out_degree_max,similarity,4782.0,4782.0,0.0,4782.0,4782.0,,+0.0000%
15,degree_distribution,out_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
15,degree_distribution,total_degree_mean,similarity,50.42320961443682,57.986692952193195,0.0,57.986692952193195,57.986692952193195,,+15.0000%
15,degree_distribution,total_degree_median,similarity,21.0,24.0,0.0,24.0,24.0,,+14.2857%
15,degree_distribution,total_degree_variance,similarity,12481.215315530224,13447.945889571452,1.83560774059326,13446.336908445759,13449.554870697146,,+7.7455%
15,degree_distribution,total_degree_std,similarity,111.71935962728317,115.96527859433088,0.007914439102203016,115.95834128258706,115.97221590607471,,+3.8005%
15,degree_distribution,total_degree_max,similarity,9489.0,9489.0,0.0,9489.0,9489.0,,+0.0000%
15,degree_distribution,total_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
15,assortativity,degree_assortativity,similarity,-0.046430186922204346,-0.03430302697181505,2.001641631038338e-05,-0.03432057213428914,-0.03428548180934096,,+26.1191%
15,connected_components,wcc_count,change,4306.0,4306.0,0.0,4306.0,4306.0,,+0.0000%
15,connected_components,wcc_max_size,preservation,153952.0,153952.0,0.0,153952.0,153952.0,100.0,+0.0000%
15,connected_components,scc_count,change,18345.0,18092.8,4.207136793592526,18089.11228200644,18096.487717993557,,-1.3748%
15,connected_components,scc_max_size,preservation,139405.0,139744.2,8.438009243891594,139736.8037587925,139751.59624120753,99.7573,+0.2433%
15,reciprocity,reciprocity,preservation,0.12993908079595212,0.1366122812351192,5.702579690103836e-05,0.1365622959202492,0.1366622665499892,95.1152,+5.1356%
