rate,rate_pct,analysis,metric,baseline_mean,mean,std,ci_lower,ci_upper,preservation_pct,biological_status
0.0025,0%,degree_distribution,in_degree_variance,3727.29660036276,3726.8044517474664,0.008456883065550291,3726.797038962625,3726.811864532308,100.0,Preserved
0.0025,0%,degree_distribution,in_degree_std,61.05158966286431,61.04755893353664,6.926470951820219e-05,61.047498220341865,61.04761964673142,100.0,Preserved
0.0025,0%,degree_distribution,in_degree_max,4707.0,4707.0,0.0,4707.0,4707.0,100.0,Preserved
0.0025,0%,degree_distribution,in_degree_min,0.0,0.0,0.0,0.0,0.0,100.0,Preserved
0.0025,0%,degree_distribution,out_degree_mean,25.21160480721841,25.27463320316943,0.0,25.27463320316943,25.27463320316943,100.0,Preserved
0.0025,0%,degree_distribution,out_degree_median,11.0,11.0,0.0,11.0,11.0,100.0,Preserved
0.0025,0%,degree_distribution,out_degree_variance,3364.863849607683,3369.906636731859,0.027916108806372176,3369.8821671836117,3369.9311062801066,100.0,Preserved
0.0025,0%,degree_distribution,out_degree_std,58.007446501356036,58.050896949880176,0.00024044557202941618,58.05068619004375,58.051107709716604,100.0,Preserved
0.0025,0%,degree_distribution,out_degree_max,4782.0,4782.0,0.0,4782.0,4782.0,100.0,Preserved
0.0025,0%,degree_distribution,out_degree_min,0.0,0.0,0.0,0.0,0.0,100.0,Preserved
0.0025,0%,degree_distribution,total_degree_mean,50.42320961443682,50.54926640633886,0.0,50.54926640633886,50.54926640633886,100.0,Preserved
0.0025,0%,degree_distribution,total_degree_median,21.0,21.0,0.0,21.0,21.0,100.0,Preserved
0.0025,0%,degree_distribution,total_degree_variance,12481.215315530224,12482.254707825188,0.07630614055051459,12482.187822543978,12482.321593106399,100.0,Preserved
0.0025,0%,degree_distribution,total_degree_std,111.71935962728317,111.72401133029503,0.0003414941902572603,111.72371199743948,111.72431066315058,100.0,Preserved
0.0025,0%,degree_distribution,total_degree_max,9489.0,9489.0,0.0,9489.0,9489.0,100.0,Preserved
0.0025,0%,degree_distribution,total_degree_min,0.0,0.0,0.0,0.0,0.0,100.0,Preserved
0.0025,0%,assortativity,degree_assortativity,-0.046430186922204346,-0.04602127814280117,1.1806273469511139e-06,-0.04602231300829869,-0.046020243277303655,100.0,Preserved
0.0025,0%,connected_components,wcc_count,4306.0,4306.0,0.0,4306.0,4306.0,100.0,Preserved
0.0025,0%,connected_components,wcc_max_size,153952.0,153952.0,0.0,153952.0,153952.0,100.0,Preserved
0.0025,0%,connected_components,scc_count,18345.0,18342.6,0.8944271909999159,18341.816,18343.384,100.0,Preserved
0.0025,0%,connected_components,scc_max_size,139405.0,139406.4,0.8944271909999159,139405.61599999998,139407.184,99.999,Preserved
0.0025,0%,reciprocity,reciprocity,0.12993908079595212,0.12961804633683782,6.123702924006365e-07,0.12961750957061013,0.1296185831030655,99.7529,Preserved
0.005,0%,basic_structure,node_count,158262.0,158262.0,0.0,158262.0,158262.0,100.0,Preserved
0.005,0%,basic_structure,edge_count,3990039.0,4009989.0,0.0,4009989.0,4009989.0,99.5025,Preserved
0.005,0%,basic_structure,total_synapses,23556214.0,23615281.0,163.73912177607403,23615137.476331707,23615424.523668293,99.7499,Preserved
