condition,dataset,error_model,error_rate,trial_seed,analysis_name,metric_name,category,baseline_value,perturbed_value,absolute_delta,relative_change,is_near_zero_baseline,null_graph_replicate_id,perturbation_completion_ratio
null,BANC,missed_synapses,0.0,2,degree_distribution,in_degree_variance,secondary_emergent,3727.29660036276,3727.29660036276,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,in_degree_std,secondary_emergent,61.0515896628643,61.0515896628643,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,in_degree_max,secondary_emergent,4707.0,4707.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,out_degree_mean,secondary_emergent,25.21160480721841,25.21160480721841,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,out_degree_median,secondary_emergent,11.0,11.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,out_degree_variance,secondary_emergent,3364.8638496076824,3364.8638496076824,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,out_degree_std,secondary_emergent,58.00744650135604,58.00744650135604,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,out_degree_max,secondary_emergent,4782.0,4782.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,total_degree_mean,primary_imposed,50.42320961443682,50.42320961443682,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,total_degree_median,secondary_emergent,21.0,21.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,total_degree_variance,secondary_emergent,12481.215315530224,12481.215315530224,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,total_degree_std,secondary_emergent,111.71935962728315,111.71935962728315,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,total_degree_max,secondary_emergent,9489.0,9489.0,0.0,0.0,False,1,1.0
null,BANC,missed_synapses,0.0,2,degree_distribution,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,True,1,1.0
null,BANC,missed_synapses,0.0,2,connected_components,wcc_count,secondary_emergent,4303.0,4303.0,0.0,0.0,False,1,1.0
