dataset,error_model,rate,pr_pearson,pr_spearman,pr_topk100
BANC,split_errors,3.0,0.9991912890829919,0.9957763838580849,0.992
BANC,split_errors,5.0,0.9990699553687208,0.9931823926890131,0.9879999999999999
BANC,split_errors,7.5,0.9934678800570682,0.9901200169630426,0.976
FAFB,split_errors,0.5,0.99997714703513,0.9991205743661895,0.992
FAFB,split_errors,0.0,0.9999999999999997,0.999999999999955,1.0
FAFB,split_errors,10.0,0.9986419366984564,0.9856880840358707,0.958
FAFB,split_errors,15.0,0.9959360132038426,0.9806781257511684,0.95
FAFB,split_errors,1.0,0.99996391848367,0.9982938350700519,0.99
FAFB,split_errors,20.0,0.9965540296015607,0.9768710862267147,0.946
FAFB,split_errors,2.0,0.9998702309688559,0.996544439427896,0.99
FAFB,split_errors,3.0,0.9989163128337848,0.9949703792247172,0.984
FAFB,split_errors,5.0,0.9996191314015481,0.9920493092942483,0.982
FAFB,split_errors,7.5,0.9985539773230652,0.9886849147431391,0.968
MANC,split_errors,0.5,0.9999617685206932,0.9994329759573952,0.992
MANC,split_errors,0.0,1.0,0.9999999999999998,1.0
MANC,split_errors,10.0,0.9991333906750028,0.9908660556712132,0.982
MANC,split_errors,15.0,0.9987722157151093,0.9878444637404721,0.974
MANC,split_errors,1.0,0.9999195801545595,0.9988972831398684,0.99
MANC,split_errors,20.0,0.99835053261328,0.9855333375972932,0.966
MANC,split_errors,2.0,0.9998018838245093,0.9978301547427486,0.992
MANC,split_errors,3.0,0.9997118807270333,0.9967875567804813,0.99
MANC,split_errors,5.0,0.9995369221395002,0.9948102719816563,0.9879999999999999
MANC,split_errors,7.5,0.9993182466723752,0.9927190609826342,0.984
MCNS,split_errors,0.5,0.9998816165359632,0.9987461840985661,0.994
MCNS,split_errors,0.0,1.0,1.0,1.0
MCNS,split_errors,10.0,0.9961410038308053,0.980396855273769,0.9640000000000001
MCNS,split_errors,15.0,0.9948705964780787,0.9737652459505576,0.9480000000000001
