dataset,error_model,rate,analysis,metric,baseline,value,rel_change_pct,rel_std_pct,n
BANC,false_synapses,0.75,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,0.75,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.04547921284906641,2.048180582885185,0.017118742567609563,5
BANC,false_synapses,0.75,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,0.75,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,0.75,connected_components,metric_scc_count,18345.0,18341.8,-0.017443445080407346,0.006356993071513002,5
BANC,false_synapses,0.75,connected_components,metric_scc_max_size,139405.0,139407.4,0.0017216025250128613,0.0005738675083390122,5
BANC,false_synapses,0.75,reciprocity,metric_reciprocity,0.1299390807959521,0.12897478683888708,-0.7421123430750447,0.00041942920244920494,5
BANC,false_synapses,1.0,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,1.0,basic_structure,metric_edge_count,3990039.0,4029939.0,0.9999902256594485,0.0,5
BANC,false_synapses,1.0,basic_structure,metric_total_synapses,23556214.0,23674574.4,0.5024593510654918,0.0010612829378805404,5
BANC,false_synapses,1.0,basic_structure,metric_weight_mean,5.903755326702321,5.874673140213785,-0.49260487400279995,0.0010507752877080675,5
BANC,false_synapses,1.0,basic_structure,metric_weight_variance,89.45748753848277,88.67164323103114,-0.8784555983797018,0.0004534702756511645,5
BANC,false_synapses,1.0,basic_structure,metric_weight_std,9.45819684392764,9.416562176854523,-0.44019666496841037,0.0002277375250364448,5
BANC,false_synapses,1.0,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,false_synapses,1.0,basic_structure,metric_density,0.0001593039650148,0.0001608969890941,0.9999902256996601,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_total_degree_mean,50.42320961443682,50.92743678204496,0.9999902256594327,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_in_degree_mean,25.21160480721841,25.46371839102248,0.9999902256594327,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_out_degree_mean,25.21160480721841,25.46371839102248,0.9999902256594327,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_total_degree_std,111.71935962728317,111.84895174439848,0.11599790541912519,0.00037424667979494127,5
BANC,false_synapses,1.0,degree_distribution,metric_in_degree_max,4707.0,4707.0,0.0,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,1.0,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.04522175859433812,2.602678145343132,0.008528250644126404,5
BANC,false_synapses,1.0,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,1.0,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,1.0,connected_components,metric_scc_count,18345.0,18341.6,-0.01853366039793652,0.007394200036113675,5
BANC,false_synapses,1.0,connected_components,metric_scc_max_size,139405.0,139407.2,0.0015781356479406343,0.0005368039004015554,5
BANC,false_synapses,1.0,reciprocity,metric_reciprocity,0.1299390807959521,0.1288871121870579,-0.8095860017250257,0.003854348043301476,5
BANC,false_synapses,2.0,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,2.0,basic_structure,metric_edge_count,3990039.0,4069840.0,2.0000055137305677,0.0,5
BANC,false_synapses,2.0,basic_structure,metric_total_synapses,23556214.0,23792261.4,1.002060008454663,0.0010426026858947814,5
BANC,false_synapses,2.0,basic_structure,metric_weight_mean,5.903755326702321,5.845994289701807,-0.9783778934615452,0.0010221594407199574,5
BANC,false_synapses,2.0,basic_structure,metric_weight_variance,89.45748753848277,87.90034564053784,-1.7406501577356286,0.0004201370132820861,5
BANC,false_synapses,2.0,basic_structure,metric_weight_std,9.45819684392764,9.375518419806772,-0.8741457329041431,0.00021192122512974813,5
BANC,false_synapses,2.0,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,false_synapses,2.0,basic_structure,metric_density,0.0001593039650148,0.0001624900530987,2.00000551373847,0.0,5
BANC,false_synapses,2.0,degree_distribution,metric_total_degree_mean,50.42320961443682,51.431676586925484,2.000005513730576,1.4091580865107454e-14,5
BANC,false_synapses,2.0,degree_distribution,metric_in_degree_mean,25.21160480721841,25.715838293462742,2.000005513730576,1.4091580865107454e-14,5
BANC,false_synapses,2.0,degree_distribution,metric_out_degree_mean,25.21160480721841,25.715838293462742,2.000005513730576,1.4091580865107454e-14,5
BANC,false_synapses,2.0,degree_distribution,metric_total_degree_std,111.71935962728317,112.05218554820628,0.2979124853861349,0.0008158676215710764,5
BANC,false_synapses,2.0,degree_distribution,metric_in_degree_max,4707.0,4707.0,0.0,0.0,5
BANC,false_synapses,2.0,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,2.0,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.04416334375915716,4.882261548602691,0.017822215326529407,5
BANC,false_synapses,2.0,connected_components,metric_wcc_count,4306.0,4306.0,0.0,0.0,5
BANC,false_synapses,2.0,connected_components,metric_wcc_max_size,153952.0,153952.0,0.0,0.0,5
BANC,false_synapses,2.0,connected_components,metric_scc_count,18345.0,18336.0,-0.04905968928863451,0.003447563543383352,5
BANC,false_synapses,2.0,connected_components,metric_scc_max_size,139405.0,139412.4,0.005308274452131688,0.0007315404058093734,5
BANC,false_synapses,2.0,reciprocity,metric_reciprocity,0.1299390807959521,0.129412360191064,-0.4053596513547916,0.021449081432346112,5
BANC,false_synapses,5.0,basic_structure,metric_node_count,158262.0,158262.0,0.0,0.0,5
BANC,false_synapses,5.0,basic_structure,metric_edge_count,3990039.0,4189541.0,5.000001253120583,0.0,5
BANC,false_synapses,5.0,basic_structure,metric_total_synapses,23556214.0,24146488.6,2.5058126912924186,0.0012626537571845521,5
BANC,false_synapses,5.0,basic_structure,metric_weight_mean,5.903755326702321,5.763516480683683,-2.375417649582221,0.0012025273734461183,5
BANC,false_synapses,5.0,basic_structure,metric_weight_variance,89.45748753848277,85.66422803408375,-4.240292913175362,0.0005100839133860823,5
BANC,false_synapses,5.0,basic_structure,metric_weight_std,9.45819684392764,9.255497179162019,-2.1431110824867066,0.0002606273417734798,5
BANC,false_synapses,5.0,basic_structure,metric_weight_max,913.0,913.0,0.0,0.0,5
BANC,false_synapses,5.0,basic_structure,metric_density,0.0001593039650148,0.0001672691652618,5.000001253113815,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_total_degree_mean,50.42320961443682,52.94437072702228,5.000001253120585,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_in_degree_mean,25.21160480721841,26.47218536351114,5.000001253120585,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_out_degree_mean,25.21160480721841,26.47218536351114,5.000001253120585,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_total_degree_std,111.71935962728317,112.74465235981779,0.917739535882763,0.002805750013293141,5
BANC,false_synapses,5.0,degree_distribution,metric_in_degree_max,4707.0,4707.0,0.0,0.0,5
BANC,false_synapses,5.0,degree_distribution,metric_out_degree_max,4782.0,4782.0,0.0,0.0,5
BANC,false_synapses,5.0,assortativity,metric_degree_assortativity,-0.0464301869222043,-0.04097434270770214,11.750640210955114,0.01582578838642216,5
