experiment_id,analysis_name,status,runtime_seconds,metric_node_count,metric_edge_count,metric_total_synapses,metric_weight_mean,metric_weight_median,metric_weight_variance,metric_weight_std,metric_weight_max,metric_weight_min,metric_density,metric_in_degree_mean,metric_in_degree_median,metric_in_degree_variance,metric_in_degree_std,metric_in_degree_max,metric_in_degree_min,metric_out_degree_mean,metric_out_degree_median,metric_out_degree_variance,metric_out_degree_std,metric_out_degree_max,metric_out_degree_min,metric_total_degree_mean,metric_total_degree_median,metric_total_degree_variance,metric_total_degree_std,metric_total_degree_max,metric_total_degree_min,metric_degree_assortativity,metric_wcc_count,metric_wcc_max_size,metric_scc_count,metric_scc_max_size,metric_reciprocity,dataset,error_model,rate,trial
BANC_20260809T044819Z,basic_structure,SUCCESS,1.2229751289999058,158262.0,3988727.0,23497377.0,5.890946409719192,4.0,89.07505585717742,9.437958246208629,912.0,1.0,0.0001592515828697,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.25,5
BANC_20260809T044819Z,degree_distribution,SUCCESS,0.1579550619999281,,,,,,,,,,,25.203314756542948,9.0,3724.2843951237737,61.02691533351308,4704.0,0.0,25.203314756542948,11.0,3361.872988721732,57.98166079651161,4781.0,0.0,50.406629513085896,21.0,12470.586987175158,111.67178241245708,9485.0,0.0,,,,,,,BANC,missed_synapses,0.25,5
BANC_20260809T044819Z,pagerank,SUCCESS,1.1095786289999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.25,5
BANC_20260809T044819Z,assortativity,SUCCESS,0.0180777770001441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0464575530499808,,,,,,BANC,missed_synapses,0.25,5
BANC_20260809T044819Z,connected_components,SUCCESS,0.530139446000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.25,5
BANC_20260809T044819Z,reciprocity,SUCCESS,0.1017694289998871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129925662999749,BANC,missed_synapses,0.25,5
BANC_20260809T045057Z,basic_structure,SUCCESS,1.221960738999769,158262.0,3987497.0,23438454.0,5.877986616667047,4.0,88.69685646726099,9.417900852486238,912.0,1.0,0.0001592024746086,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,1
BANC_20260809T045057Z,degree_distribution,SUCCESS,0.1579632670000137,,,,,,,,,,,25.1955428340347,9.0,3721.079940452637,61.000655246092535,4702.0,0.0,25.1955428340347,11.0,3359.344122631555,57.95984922885458,4776.0,0.0,50.3910856680694,21.0,12460.258155107736,111.62552644940912,9478.0,0.0,,,,,,,BANC,missed_synapses,0.5,1
BANC_20260809T045057Z,pagerank,SUCCESS,0.8194156139998086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,1
BANC_20260809T045057Z,assortativity,SUCCESS,0.017550779999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0465036543199604,,,,,,BANC,missed_synapses,0.5,1
BANC_20260809T045057Z,connected_components,SUCCESS,0.5228371409998545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306.0,153952.0,18345.0,139405.0,,BANC,missed_synapses,0.5,1
BANC_20260809T045057Z,reciprocity,SUCCESS,0.0995668219998151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1299160852033243,BANC,missed_synapses,0.5,1
BANC_20260809T045335Z,basic_structure,SUCCESS,1.2205115760002627,158262.0,3987456.0,23438367.0,5.8780252371436825,4.0,88.68821279948025,9.417441945638966,912.0,1.0,0.0001592008376665,,,,,,,,,,,,,,,,,,,,,,,,,BANC,missed_synapses,0.5,2
