dataset,error_model,rate,analysis,metric,mean,std,n
BANC,false_synapses,0.75,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,0.75,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,0.75,assortativity,metric_degree_assortativity,-0.04547921284906641,7.948264172872075e-06,5
BANC,false_synapses,0.75,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,0.75,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,0.75,connected_components,metric_scc_count,18341.8,1.1661903789690602,5
BANC,false_synapses,0.75,connected_components,metric_scc_max_size,139407.4,0.8,5
BANC,false_synapses,0.75,reciprocity,metric_reciprocity,0.12897478683888708,5.450024502522899e-07,5
BANC,false_synapses,1.0,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,1.0,basic_structure,metric_edge_count,4029939.0,0.0,5
BANC,false_synapses,1.0,basic_structure,metric_total_synapses,23674574.4,249.99807999262714,5
BANC,false_synapses,1.0,basic_structure,metric_weight_mean,5.874673140213785,6.203520201973667e-05,5
BANC,false_synapses,1.0,basic_structure,metric_weight_variance,88.67164323103114,0.000405663115331364,5
BANC,false_synapses,1.0,basic_structure,metric_weight_std,9.416562176854523,2.153986340543594e-05,5
BANC,false_synapses,1.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,1.0,basic_structure,metric_density,0.0001608969890941,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_total_degree_mean,50.92743678204496,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_in_degree_mean,25.46371839102248,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_out_degree_mean,25.46371839102248,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_total_degree_std,111.84895174439848,0.00041810599409327736,5
BANC,false_synapses,1.0,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,1.0,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,1.0,assortativity,metric_degree_assortativity,-0.04522175859433812,3.959682715261982e-06,5
BANC,false_synapses,1.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,1.0,connected_components,metric_wcc_max_size,153952.0,0.0,5
BANC,false_synapses,1.0,connected_components,metric_scc_count,18341.6,1.3564659966250536,5
BANC,false_synapses,1.0,connected_components,metric_scc_max_size,139407.2,0.7483314773547883,5
BANC,false_synapses,1.0,reciprocity,metric_reciprocity,0.1288871121870579,5.0083044181427036e-06,5
BANC,false_synapses,2.0,basic_structure,metric_node_count,158262.0,0.0,5
BANC,false_synapses,2.0,basic_structure,metric_edge_count,4069840.0,0.0,5
BANC,false_synapses,2.0,basic_structure,metric_total_synapses,23792261.4,245.5977198591225,5
BANC,false_synapses,2.0,basic_structure,metric_weight_mean,5.845994289701807,6.034579242889514e-05,5
BANC,false_synapses,2.0,basic_structure,metric_weight_variance,87.90034564053784,0.00037584401630137585,5
BANC,false_synapses,2.0,basic_structure,metric_weight_std,9.375518419806772,2.0043926626834628e-05,5
BANC,false_synapses,2.0,basic_structure,metric_weight_max,913.0,0.0,5
BANC,false_synapses,2.0,basic_structure,metric_density,0.0001624900530987,0.0,5
BANC,false_synapses,2.0,degree_distribution,metric_total_degree_mean,51.431676586925484,7.105427357601002e-15,5
BANC,false_synapses,2.0,degree_distribution,metric_in_degree_mean,25.715838293462742,3.552713678800501e-15,5
BANC,false_synapses,2.0,degree_distribution,metric_out_degree_mean,25.715838293462742,3.552713678800501e-15,5
BANC,false_synapses,2.0,degree_distribution,metric_total_degree_std,112.05218554820628,0.0009114820822255525,5
BANC,false_synapses,2.0,degree_distribution,metric_in_degree_max,4707.0,0.0,5
BANC,false_synapses,2.0,degree_distribution,metric_out_degree_max,4782.0,0.0,5
BANC,false_synapses,2.0,assortativity,metric_degree_assortativity,-0.04416334375915716,8.274887889785347e-06,5
BANC,false_synapses,2.0,connected_components,metric_wcc_count,4306.0,0.0,5
BANC,false_synapses,2.0,connected_components,metric_wcc_max_size,153952.0,0.0,5
