rate,analysis,metric,metric_type,baseline_mean,mean,std,ci_lower,ci_upper,preservation_pct,change_pct
5,basic_structure,node_count,preservation,158262.0,158262.0,0.0,158262.0,158262.0,100.0,+0.0000%
5,basic_structure,edge_count,preservation,3990039.0,4189541.0,0.0,4189541.0,4189541.0,95.2381,+5.0000%
5,basic_structure,total_synapses,preservation,23556214.0,24146488.6,332.5406742039235,24146197.1152473,24146780.0847527,97.5554,+2.5058%
5,basic_structure,weight_mean,similarity,5.903755326702321,5.763516480683683,7.937401118755279e-05,5.763446906295296,5.763586055072071,,-2.3754%
5,basic_structure,weight_median,similarity,4.0,4.0,0.0,4.0,4.0,,+0.0000%
5,basic_structure,weight_variance,similarity,89.45748753848277,85.66422803408375,0.0005101681364841276,85.66378085199555,85.66467521617194,,-4.2403%
5,basic_structure,weight_std,similarity,9.45819684392764,9.255497179162019,2.7560261206423316e-05,9.255473021527944,9.255521336796093,,-2.1431%
5,basic_structure,weight_max,similarity,913.0,913.0,0.0,913.0,913.0,,+0.0000%
5,basic_structure,weight_min,similarity,1.0,1.0,0.0,1.0,1.0,,+0.0000%
5,basic_structure,density,preservation,0.00015930396501487044,0.00016726916526188474,0.0,0.00016726916526188474,0.00016726916526188474,95.2381,+5.0000%
5,degree_distribution,in_degree_mean,similarity,25.21160480721841,26.47218536351114,0.0,26.47218536351114,26.47218536351114,,+5.0000%
5,degree_distribution,in_degree_median,similarity,9.0,10.0,0.0,10.0,10.0,,+11.1111%
5,degree_distribution,in_degree_variance,similarity,3727.29660036276,3791.135104194122,0.24891688698536135,3790.9169189227437,3791.3532894655004,,+1.7127%
5,degree_distribution,in_degree_std,similarity,61.05158966286431,61.5721942188638,0.0020213355015763035,61.57042244017775,61.57396599754985,,+0.8527%
5,degree_distribution,in_degree_max,similarity,4707.0,4707.0,0.0,4707.0,4707.0,,+0.0000%
5,degree_distribution,in_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
5,degree_distribution,out_degree_mean,similarity,25.21160480721841,26.47218536351114,0.0,26.47218536351114,26.47218536351114,,+5.0000%
5,degree_distribution,out_degree_median,similarity,11.0,12.0,0.0,12.0,12.0,,+9.0909%
5,degree_distribution,out_degree_variance,similarity,3364.863849607683,3464.7720985452615,0.4057339530322611,3464.4164570549556,3465.1277400355675,,+2.9692%
5,degree_distribution,out_degree_std,similarity,58.007446501356036,58.862314676224685,0.00344644115826837,58.85929373735423,58.86533561509514,,+1.4737%
5,degree_distribution,out_degree_max,similarity,4782.0,4782.0,0.0,4782.0,4782.0,,+0.0000%
5,degree_distribution,out_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
5,degree_distribution,total_degree_mean,similarity,50.42320961443682,52.94437072702228,0.0,52.94437072702228,52.94437072702228,,+5.0000%
5,degree_distribution,total_degree_median,similarity,21.0,22.0,0.0,22.0,22.0,,+4.7619%
5,degree_distribution,total_degree_variance,similarity,12481.215315530224,12711.356645561667,0.7902458897536677,12710.663964498523,12712.049326624812,,+1.8439%
5,degree_distribution,total_degree_std,similarity,111.71935962728317,112.74465235981776,0.0035045512693874814,112.74158048518912,112.74772423444641,,+0.9177%
5,degree_distribution,total_degree_max,similarity,9489.0,9489.0,0.0,9489.0,9489.0,,+0.0000%
5,degree_distribution,total_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
5,assortativity,degree_assortativity,similarity,-0.046430186922204346,-0.04097434270770219,8.215250166449051e-06,-0.04098154369196934,-0.04096714172343505,,+11.7506%
5,connected_components,wcc_count,change,4306.0,4306.0,0.0,4306.0,4306.0,,+0.0000%
5,connected_components,wcc_max_size,preservation,153952.0,153952.0,0.0,153952.0,153952.0,100.0,+0.0000%
5,connected_components,scc_count,change,18345.0,18300.0,5.0990195135927845,18295.53051233361,18304.46948766639,,-0.2453%
5,connected_components,scc_max_size,preservation,139405.0,139453.2,6.457553716385176,139447.53970460137,139458.86029539866,99.9654,+0.0346%
5,reciprocity,reciprocity,preservation,0.12993908079595212,0.13117857063578087,1.5575298679327547e-05,0.13116491828454707,0.13119222298701466,99.0551,+0.9539%
