rate,analysis,metric,metric_type,baseline_mean,mean,std,ci_lower,ci_upper,preservation_pct,change_pct
0.5,basic_structure,node_count,preservation,158262.0,158262.0,0.0,158262.0,158262.0,100.0,+0.0000%
0.5,basic_structure,edge_count,preservation,3990039.0,4009989.0,0.0,4009989.0,4009989.0,99.5025,+0.5000%
0.5,basic_structure,total_synapses,preservation,23556214.0,23615281.0,163.73912177607403,23615137.476331707,23615424.523668293,99.7499,+0.2507%
0.5,basic_structure,weight_mean,similarity,5.903755326702321,5.889113660910292,4.0832810707268615e-05,5.889077869373634,5.88914945244695,,-0.2480%
0.5,basic_structure,weight_median,similarity,4.0,4.0,0.0,4.0,4.0,,+0.0000%
0.5,basic_structure,weight_variance,similarity,89.45748753848277,89.06294312810233,0.00031545567684776313,89.0626666190101,89.06321963719456,,-0.4410%
0.5,basic_structure,weight_std,similarity,9.45819684392764,9.43731652154779,1.6713204795791363e-05,9.43730187177787,9.437331171317712,,-0.2208%
0.5,basic_structure,weight_max,similarity,913.0,913.0,0.0,913.0,913.0,,+0.0000%
0.5,basic_structure,weight_min,similarity,1.0,1.0,0.0,1.0,1.0,,+0.0000%
0.5,basic_structure,density,preservation,0.00015930396501487044,0.00016010047705448876,0.0,0.00016010047705448876,0.00016010047705448876,99.5025,+0.5000%
0.5,degree_distribution,in_degree_mean,similarity,25.21160480721841,25.337661599120445,0.0,25.337661599120445,25.337661599120445,,+0.5000%
0.5,degree_distribution,in_degree_median,similarity,9.0,9.0,0.0,9.0,9.0,,+0.0000%
0.5,degree_distribution,in_degree_variance,similarity,3727.29660036276,3731.6761718024836,0.033505625663762084,3731.6468028266913,3731.705540778276,,+0.1175%
0.5,degree_distribution,in_degree_std,similarity,61.05158966286431,61.08744692440761,0.00027424301053321533,61.087206539810154,61.08768730900506,,+0.0587%
0.5,degree_distribution,in_degree_max,similarity,4707.0,4707.0,0.0,4707.0,4707.0,,+0.0000%
0.5,degree_distribution,in_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
0.5,degree_distribution,out_degree_mean,similarity,25.21160480721841,25.337661599120445,0.0,25.337661599120445,25.337661599120445,,+0.5000%
0.5,degree_distribution,out_degree_median,similarity,11.0,11.0,0.0,11.0,11.0,,+0.0000%
0.5,degree_distribution,out_degree_variance,similarity,3364.863849607683,3373.0825713172117,0.07466256908951203,3373.017126689907,3373.1480159445164,,+0.2443%
0.5,degree_distribution,out_degree_std,similarity,58.007446501356036,58.07824524713779,0.0006427774154884712,58.077681827891574,58.078808666384,,+0.1221%
0.5,degree_distribution,out_degree_max,similarity,4782.0,4782.0,0.0,4782.0,4782.0,,+0.0000%
0.5,degree_distribution,out_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
0.5,degree_distribution,total_degree_mean,similarity,50.42320961443682,50.67532319824089,0.0,50.67532319824089,50.67532319824089,,+0.5000%
0.5,degree_distribution,total_degree_median,similarity,21.0,21.0,0.0,21.0,21.0,,+0.0000%
0.5,degree_distribution,total_degree_variance,similarity,12481.215315530224,12492.101098224579,0.09104945914724924,12492.02128985483,12492.180906594327,,+0.0872%
0.5,degree_distribution,total_degree_std,similarity,111.71935962728317,111.76806832942876,0.0004073143330546966,111.76771130267429,111.76842535618323,,+0.0436%
0.5,degree_distribution,total_degree_max,similarity,9489.0,9489.0,0.0,9489.0,9489.0,,+0.0000%
0.5,degree_distribution,total_degree_min,similarity,0.0,0.0,0.0,0.0,0.0,,—
0.5,assortativity,degree_assortativity,similarity,-0.046430186922204346,-0.04559911529811725,2.601093139443465e-06,-0.045601395256778886,-0.04559683533945561,,+1.7899%
0.5,connected_components,wcc_count,change,4306.0,4306.0,0.0,4306.0,4306.0,,+0.0000%
0.5,connected_components,wcc_max_size,preservation,153952.0,153952.0,0.0,153952.0,153952.0,100.0,+0.0000%
0.5,connected_components,scc_count,change,18345.0,18341.0,1.0,18340.12346135282,18341.87653864718,,-0.0218%
0.5,connected_components,scc_max_size,preservation,139405.0,139408.0,1.0,139407.1234613528,139408.8765386472,99.9978,+0.0022%
0.5,reciprocity,reciprocity,preservation,0.12993908079595212,0.12929511776715596,4.987544853646275e-07,0.12929468058957408,0.12929555494473785,99.5044,-0.4956%
