error_model,error_rate_percent,metric_name,category,real_mean_relative_change,null_mean_relative_change,effect_difference,cohens_d,p_value_adjusted,is_significant
false_synapses,1.0%,in_degree_variance,secondary_emergent,0.0025778523344198077,0.00257785233441992,-1.1232334506949826e-16,-4.7632947682537786e-12,1.0,False
false_synapses,1.0%,out_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,1.0%,out_degree_mean,secondary_emergent,0.009999902256594327,0.0099999022565944,-7.28583859910259e-17,0.0,,False
false_synapses,1.0%,out_degree_median,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,1.0%,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,1.0%,out_degree_std,secondary_emergent,0.0030595873977057536,0.00305958739770582,-6.635317295611287e-17,-4.532959086631737e-12,1.0,False
false_synapses,1.0%,out_degree_variance,secondary_emergent,0.0061285360418713766,0.00612853604187132,5.637851296924623e-17,1.919888180628055e-12,1.0,False
false_synapses,1.0%,total_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,1.0%,total_degree_mean,primary_imposed,0.009999902256594327,0.0099999022565944,-7.28583859910259e-17,0.0,,False
false_synapses,1.0%,total_degree_median,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,1.0%,total_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,1.0%,total_degree_std,secondary_emergent,0.0011599790541913539,0.0011599790541912398,1.1405806854547507e-16,2.7259196505556896e-11,1.0,False
false_synapses,1.0%,total_degree_variance,secondary_emergent,0.00232130367379487,0.0023213036737948804,-1.0408340855860843e-17,-1.2423278843427698e-12,1.0,False
false_synapses,1.0%,reciprocity,secondary_emergent,-0.008095860017250428,0.0471641152360259,-0.055259975253276326,-58.50914119810615,3.335264210701369e-07,True
false_synapses,2.0%,density,primary_imposed,0.0200000551373847,0.0200000551373055,7.92005350191971e-14,100.0,,False
false_synapses,2.0%,edge_count,secondary_emergent,0.020000055137305676,0.0200000551373056,7.632783294297951e-17,0.0,,False
false_synapses,2.0%,node_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,total_synapses,secondary_emergent,0.010020600084546694,0.01002060008454664,5.377642775528102e-17,4.61336805188461e-12,1.0,False
false_synapses,2.0%,weight_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,weight_mean,secondary_emergent,-0.009783778934615513,-0.00978377893461546,-5.377642775528102e-17,-4.705635667303301e-12,1.0,False
false_synapses,2.0%,weight_median,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,weight_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,weight_std,secondary_emergent,-0.008741457329041354,-0.00874145732904132,-3.469446951953614e-17,-1.4643024499103787e-11,1.0,False
false_synapses,2.0%,weight_variance,secondary_emergent,-0.017406501577356313,-0.017406501577356282,-3.122502256758253e-17,-6.6474764995855945e-12,1.0,False
false_synapses,2.0%,scc_count,secondary_emergent,-0.0004905968928863451,-0.00095428840716302,0.00046369151427667486,6.294120994049774,0.00029943279895758095,True
false_synapses,2.0%,scc_max_size,secondary_emergent,5.3082744521358624e-05,0.00011466023059441101,-6.157748607305238e-05,-6.12490310237919,5.634713258263522e-05,True
false_synapses,2.0%,wcc_count,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,wcc_max_size,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,in_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,in_degree_mean,secondary_emergent,0.02000005513730562,0.0200000551373056,2.0816681711721685e-17,0.0,,False
false_synapses,2.0%,in_degree_median,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,in_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,in_degree_std,secondary_emergent,0.0029528498114368687,0.0029528498114368,6.852157730108388e-17,3.4680423588850486e-12,1.0,False
false_synapses,2.0%,in_degree_variance,secondary_emergent,0.005914419257185333,0.00591441925718542,-8.760353553682876e-17,-2.2103690646907316e-12,1.0,False
false_synapses,2.0%,out_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,out_degree_mean,secondary_emergent,0.02000005513730562,0.0200000551373056,2.0816681711721685e-17,0.0,,False
false_synapses,2.0%,out_degree_median,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,out_degree_min,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,out_degree_std,secondary_emergent,0.005942211789958967,0.00594221178995906,-9.280770596475918e-17,-3.693176741550978e-12,1.0,False
false_synapses,2.0%,out_degree_variance,secondary_emergent,0.011919733966068718,0.011919733966068661,5.724587470723463e-17,1.132281218840731e-12,1.0,False
false_synapses,2.0%,total_degree_max,secondary_emergent,0.0,0.0,0.0,0.0,,False
false_synapses,2.0%,total_degree_mean,primary_imposed,0.02000005513730562,0.0200000551373056,2.0816681711721685e-17,0.0,,False
