dataset,error_model,error_rate,error_rate_percent,analysis_name,metric_name,category,real_n,null_n,real_baseline_mean,null_baseline_mean,real_perturbed_mean,null_perturbed_mean,real_mean_relative_change,real_std_relative_change,null_mean_relative_change,null_std_relative_change,effect_difference,cohens_d,test_name,p_value_raw,p_value_adjusted,is_significant,interpretation
BANC,false_synapses,0.02,2.0%,basic_structure,edge_count,secondary_emergent,5,5,3990039.0,3990039.0,4069840.0,4069840.0,0.020000055137305676,0.0,0.0200000551373056,0.0,7.632783294297951e-17,0.0,welch_t_test,0.0,0.0,True,"At 2.0% error rate, the secondary change in edge count was significantly greater in Real (+2.00%) than Null (+2.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.02,2.0%,connected_components,scc_count,secondary_emergent,5,5,18345.0,16976.0,18336.0,16959.8,-0.0004905968928863451,3.854493219877611e-05,-0.00095428840716302,9.679357166089505e-05,0.00046369151427667486,6.294120994049774,welch_t_test,0.00013424491145633995,0.0002915904083256215,True,"At 2.0% error rate, the secondary change in scc count was significantly greater in Real (-0.05%) than Null (-0.10%) (difference = +0.05%, d = 6.29, p_adj = 0.0003). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.02,2.0%,connected_components,scc_max_size,secondary_emergent,5,5,139405.0,141287.0,139412.4,141303.2,5.3082744521358624e-05,8.178870378387705e-06,0.00011466023059441101,1.1629999026888393e-05,-6.157748607305238e-05,-6.12490310237919,welch_t_test,2.2395521694211138e-05,5.468103654535493e-05,True,"At 2.0% error rate, the secondary change in scc max size was significantly less in Real (+0.01%) than Null (+0.01%) (difference = -0.01%, d = -6.12, p_adj = 0.0001). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.02,2.0%,degree_distribution,in_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,25.715838293462742,25.715838293462742,0.02000005513730562,0.0,0.0200000551373056,0.0,2.0816681711721685e-17,0.0,welch_t_test,0.0,0.0,True,"At 2.0% error rate, the secondary change in in degree mean was significantly greater in Real (+2.00%) than Null (+2.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.02,2.0%,degree_distribution,out_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,25.715838293462742,25.715838293462742,0.02000005513730562,0.0,0.0200000551373056,0.0,2.0816681711721685e-17,0.0,welch_t_test,0.0,0.0,True,"At 2.0% error rate, the secondary change in out degree mean was significantly greater in Real (+2.00%) than Null (+2.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.02,2.0%,degree_distribution,total_degree_median,secondary_emergent,5,5,21.0,21.0,22.0,22.0,0.047619047619047616,0.0,0.0476190476190476,0.0,1.3877787807814457e-17,0.0,welch_t_test,0.0,0.0,True,"At 2.0% error rate, the secondary change in total degree median was significantly greater in Real (+4.76%) than Null (+4.76%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.02,2.0%,reciprocity,reciprocity,secondary_emergent,5,5,0.1299390807959521,0.0039814147180015,0.129412360191064,0.00575157745759044,-0.004053596513548087,0.00023980802068827246,0.4446064690486481,0.008262333373593563,-0.4486600655621962,-76.76210043290342,welch_t_test,2.6953390894257597e-08,1.1412543359657173e-07,True,"At 2.0% error rate, the secondary change in reciprocity was significantly less in Real (-0.41%) than Null (+44.46%) (difference = -44.87%, d = -76.76, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.05,5.0%,basic_structure,edge_count,secondary_emergent,5,5,3990039.0,3990039.0,4189541.0,4189541.0,0.050000012531205826,7.757919228897728e-18,0.0500000125312058,0.0,2.7755575615628914e-17,0.0,welch_t_test,0.0013238969092171672,0.002480916056768305,True,"At 5.0% error rate, the secondary change in edge count was significantly greater in Real (+5.00%) than Null (+5.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0025). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.05,5.0%,connected_components,scc_count,secondary_emergent,5,5,18345.0,16976.0,18300.0,16955.4,-0.0024529844644317253,0.0002779514589039403,-0.00121347785108382,8.93364213484099e-05,-0.0012395066133479053,-6.0040900322200494,welch_t_test,0.00026764513241557433,0.0005560701664162087,True,"At 5.0% error rate, the secondary change in scc count was significantly less in Real (-0.25%) than Null (-0.12%) (difference = -0.12%, d = -6.00, p_adj = 0.0006). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.05,5.0%,connected_components,scc_max_size,secondary_emergent,5,5,139405.0,141287.0,139453.2,141307.6,0.0003457551737742549,4.632225326484113e-05,0.0001458025154472,1.0734003049179794e-05,0.0001999526583270549,5.9469567935005685,welch_t_test,0.00043223607188442817,0.000863181886837858,True,"At 5.0% error rate, the secondary change in scc max size was significantly greater in Real (+0.03%) than Null (+0.01%) (difference = +0.02%, d = 5.95, p_adj = 0.0009). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.05,5.0%,degree_distribution,in_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,26.47218536351114,26.47218536351114,0.050000012531205854,7.757919228897728e-18,0.0500000125312058,0.0,5.551115123125783e-17,0.0,welch_t_test,8.921654238106086e-05,0.00019895288950976572,True,"At 5.0% error rate, the secondary change in in degree mean was significantly greater in Real (+5.00%) than Null (+5.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0002). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.05,5.0%,degree_distribution,out_degree_mean,secondary_emergent,5,5,25.21160480721841,25.21160480721841,26.47218536351114,26.47218536351114,0.050000012531205854,7.757919228897728e-18,0.0500000125312058,0.0,5.551115123125783e-17,0.0,welch_t_test,8.921654238106086e-05,0.00019895288950976572,True,"At 5.0% error rate, the secondary change in out degree mean was significantly greater in Real (+5.00%) than Null (+5.00%) (difference = +0.00%, d = 0.00, p_adj = 0.0002). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.05,5.0%,degree_distribution,out_degree_median,secondary_emergent,5,5,11.0,11.0,12.0,12.0,0.09090909090909091,0.0,0.0909090909090909,0.0,1.3877787807814457e-17,0.0,welch_t_test,0.0,0.0,True,"At 5.0% error rate, the secondary change in out degree median was significantly greater in Real (+9.09%) than Null (+9.09%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
BANC,false_synapses,0.05,5.0%,degree_distribution,total_degree_median,secondary_emergent,5,5,21.0,21.0,22.0,22.0,0.047619047619047616,0.0,0.0476190476190476,0.0,1.3877787807814457e-17,0.0,welch_t_test,0.0,0.0,True,"At 5.0% error rate, the secondary change in total degree median was significantly greater in Real (+4.76%) than Null (+4.76%) (difference = +0.00%, d = 0.00, p_adj = 0.0000). Suggests connectome biological organization significantly shapes this secondary effect."
